wavelength,Qabs
1355,2.29E-04
1356,2.14E-04
1357,2.85E-04
1358,2.69E-04
1359,2.23E-04
1360,2.08E-04
1361,2.26E-04
1362,2.23E-04
1363,3.31E-04
1364,3.12E-04
1365,1.62E-04
1366,2.66E-04
1367,3.68E-04
1368,2.85E-04
1369,3.22E-04
1370,4.30E-04
1371,3.43E-04
1372,2.82E-04
1373,3.09E-04
1374,3.19E-04
1375,3.62E-04
1376,3.93E-04
1377,3.96E-04
1378,4.05E-04
1379,3.62E-04
1380,3.96E-04
1381,4.89E-04
1382,4.89E-04
1383,4.92E-04
1384,5.73E-04
1385,5.36E-04
1386,5.05E-04
1387,5.29E-04
1388,4.58E-04
1389,5.11E-04
1390,5.92E-04
1391,6.48E-04
1392,7.79E-04
1393,6.29E-04
1394,4.61E-04
1395,6.54E-04
1396,7.64E-04
1397,8.92E-04
1398,9.14E-04
1399,8.07E-04
1400,8.36E-04
